CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name
         2x                         |        0.0s        0.0s                         | _pla_merge
         2x                         |        0.1s        0.1s                         | _ppro_print_prototype_summary
         1x                         |        0.0s        0.0s                         | _ppro_remove_userenable_attr_on_always_enable_flops
         6x                         |        0.0s        0.0s                         | _preserve_nodes
         1x                         |        0.0s        0.0s                         | _process_bit_level_clocks
         1x                         |        0.0s        0.0s                         | _process_resets
         1x                         |        0.0s        0.0s                         | _reduce_comparators
         1x                         |        0.0s        0.0s                         | _remove_transparent_latch
         1x                         |        0.0s        0.0s                         | _rename_operators
         1x                         |        0.0s        0.0s                         | _replace_latches_with_ff
         1x                         |        0.0s        0.0s                         | _report_bitlevel_hiers
         6x                         |        0.1s        0.0s                         | _report_design
         1x                         |        0.0s        0.0s                         | _report_dut_tree
         1x                         |        0.0s        0.0s                         | _report_efficiency
         1x                         |        0.1s        0.1s                         | _report_enable_logic
         1x                         |        0.1s        0.1s                         | _report_flop_info
         1x                         |        0.1s        0.1s                         | _report_hier_info
         1x                         |        0.0s        0.0s                         | _resolve_multi_drivers
         1x                         |        0.0s        0.0s                         | _restruct
         8x                         |        0.0s        0.0s                         | _set_command_access
        94x                         |        0.0s        0.0s                         | _set_message_audience
         1x                         |        0.0s        0.0s                         | _sls_bist_detection
         1x                         |        0.0s        0.0s                         | _sls_cmd_report_tech_cells
        66x                         |        0.0s        0.0s                         | _sls_flow_state
         1x                         |        0.0s        0.0s                         | _split_flop
         1x                         |        0.0s        0.0s                         | _syn_bsel_concat
         1x                         |        0.0s        0.0s                         | _synthesize_write_enable
         1x                         |        0.0s        0.0s                         | _ta_get_default_clock
         1x                         |        0.0s        0.0s                         | _tcldict_to_json
         1x                         |        0.0s        0.0s                         | _uniqify
         1x                         |        0.0s        0.0s                         | _visualize_clock_tree
         1x                         |        0.0s        0.0s                         | analyze_cycle_based_redundancies
        30x                         |        0.0s        0.0s                         | append_global
         1x                         |        0.0s        0.0s                         | apply_multicycle_path_constraints
         1x                         |        0.0s        0.0s                         | bls_node
         1x                         |        0.5s        0.5s                         | build_db
        23x                         |        0.0s        0.0s                         | calypto_product
         2x                         |        0.4s        0.4s                         | cdb_read_library
         3x                         |        0.8s        0.3s                         | cdb_write_db
         1x                         |        0.0s        0.0s                         | check_upf_sanity
         1x                         |        0.4s        0.4s                         | compute_reports
         1x                         |        0.0s        0.0s                         | config_clock_tree
         5x                         |        0.0s        0.0s                         | config_write_rtl
         1x                         |        0.2s        0.2s                         | cpt::build_cdb_from_verific_netlist
         3x                         |        0.0s        0.0s                         | cpt::get_cptroot
        14x                         |        0.0s        0.0s                         | cpt::get_language
         1x                         |        0.0s        0.0s                         | cpt::get_top_cptroot
         2x                         |        0.0s        0.0s                         | cpt::linked
         2x                         |        0.0s        0.0s                         | cpt::linked_and_build
         1x                         |        0.5s        0.5s                         | cpt::mixed_lang_to_cpt
        11x                         |        0.5s        0.4s                         | cpt::read_mixed_lang
         1x                         |        0.0s        0.0s                         | cpt::validate_link_design_top
         2x                         |        0.0s        0.0s                         | create_clock
        11x                         |        0.0s        0.0s                         | disable_msg
         1x                         |        0.0s        0.0s                         | dump_verify_script
        52x                         |        0.0s        0.0s                         | find
         1x                         |        0.0s        0.0s                         | generate_clock_roots
         1x                         |        0.0s        0.0s                         | get_cgc_edges
       106x                         |        0.0s        0.0s                         | get_cpu_usage
      1318x                         |        0.0s        0.0s                         | get_global
         3x                         |        0.0s        0.0s                         | get_hierarchy
       131x                         |        0.0s        0.0s                         | get_info
       185x                         |        0.0s        0.0s                         | get_mem_usage
        59x                         |        0.0s        0.0s                         | get_process_usage
         2x                         |        0.0s        0.0s                         | get_sa_coverage
         2x                         |        0.0s        0.0s                         | get_version
         1x                         |        0.0s        0.0s                         | is_adviser_allowed
         1x                         |        0.5s        0.5s                         | link_design
         3x                         |        0.1s        0.1s                         | mark_synchronizer
         1x                         |        0.0s        0.0s                         | move_clk_from_cgic_to_flop
         2x                         |        0.0s        0.0s                         | pget
         1x                         |        2.8s        2.8s                         | prototype_design
        11x                         |        0.5s        0.4s                         | read_design
         2x                         |        0.4s        0.4s                         | read_library
         1x                         |        1.3s        1.3s                         | read_saif
        11x                         |        0.5s        0.4s                         | read_vhdl
         2x                         |        0.0s        0.0s                         | replace_user_cgic_module
         1x                         |        0.0s        0.0s                         | report_efficiency
         1x                         |        0.1s        0.1s                         | report_enable_logic
         2x                         |        0.0s        0.0s                         | report_mem_cycle_based_redundancies
         2x                         |        9.6s        9.5s                         | report_power
         1x                         |        0.0s        0.0s                         | set_attrs_inout_mux
         1x                         |        0.0s        0.0s                         | set_boundary_opt
